n,S,rep,eps,order,rank,top1,top3,top5,top10,top20,original_tree_mass,hybrid_leakage,ml_true,ensemble_eff
100,200,2,0.05,2,1,True,True,True,True,True,0.7668551397087987,0.2331448602912013,1,1.1105988455272866
100,1000,1,0.05,0,1,True,True,True,True,True,0.7825963346830195,0.2174036653169805,1,1.10790536641662
100,1000,1,0.05,1,1,True,True,True,True,True,0.8044326138279466,0.1955673861720533,1,1.10790536641662
100,1000,1,0.05,2,1,True,True,True,True,True,0.8099523652778243,0.1900476347221756,1,1.10790536641662
100,1000,2,0.05,0,1,True,True,True,True,True,0.7286900344427917,0.2713099655572083,1,1.10790536641662
100,1000,2,0.05,1,1,True,True,True,True,True,0.7849987238931925,0.2150012761068075,1,1.10790536641662
100,1000,2,0.05,2,1,True,True,True,True,True,0.7915017230526584,0.2084982769473415,1,1.10790536641662
100,200,1,0.15,0,1,True,True,True,True,True,0.3303344343749552,0.6696655656250448,1,1.3913360855182408
100,200,1,0.15,1,1,True,True,True,True,True,0.3977119857496713,0.6022880142503286,1,1.3913360855182408
100,200,1,0.15,2,1,True,True,True,True,True,0.4072892700267698,0.5927107299732302,1,1.3913360855182408
100,200,2,0.15,0,1,True,True,True,True,True,0.3374214578901274,0.6625785421098727,1,1.385364477883068
100,200,2,0.15,1,1,True,True,True,True,True,0.3973957162512232,0.6026042837487768,1,1.385364477883068
100,200,2,0.15,2,1,True,True,True,True,True,0.4065823331100219,0.593417666889978,1,1.385364477883068
100,1000,1,0.15,0,1,True,True,True,True,True,0.3923035376093582,0.6076964623906418,1,1.382289416846654
100,1000,1,0.15,1,1,True,True,True,True,True,0.452208453086704,0.5477915469132959,1,1.382289416846654
100,1000,1,0.15,2,1,True,True,True,True,True,0.4641668006322118,0.5358331993677882,1,1.382289416846654
100,1000,2,0.15,0,1,True,True,True,True,True,0.3892959535645692,0.6107040464354307,1,1.382289416846654
100,1000,2,0.15,1,1,True,True,True,True,True,0.4345223312460611,0.5654776687539389,1,1.382289416846654
100,1000,2,0.15,2,1,True,True,True,True,True,0.4503492584258837,0.5496507415741163,1,1.382289416846654
20,20,0,0.15,0,5,False,False,True,True,True,0.459359064101407,0.540640935898593,0,15.294135590667048
20,20,0,0.15,1,3,False,True,True,True,True,0.5286443664862733,0.4713556335137266,0,15.294135590667048
20,20,0,0.15,2,3,False,True,True,True,True,0.5383333813548894,0.4616666186451106,0,15.294135590667048
20,20,1,0.15,0,31,False,False,False,False,False,0.3613440459237406,0.6386559540762594,0,26.19061010311802
20,20,1,0.15,1,12,False,False,False,False,True,0.3842639318761235,0.6157360681238765,0,26.19061010311802
20,20,1,0.15,2,12,False,False,False,False,True,0.408922212175435,0.591077787824565,0,26.19061010311802
20,20,2,0.15,0,2,False,True,True,True,True,0.4671625208231142,0.5328374791768857,0,19.039144889523225
20,20,2,0.15,1,2,False,True,True,True,True,0.4948195436267537,0.5051804563732463,0,19.039144889523225
20,20,2,0.15,2,2,False,True,True,True,True,0.503944191416954,0.496055808583046,0,19.039144889523225
20,20,3,0.15,0,2,False,True,True,True,True,0.4620351079667401,0.5379648920332598,0,24.25724890935749
20,20,3,0.15,1,2,False,True,True,True,True,0.5153735190225425,0.4846264809774575,0,24.25724890935749
20,20,3,0.15,2,2,False,True,True,True,True,0.5348696735896021,0.4651303264103978,0,24.25724890935749
20,20,4,0.15,0,12,False,False,False,False,True,0.3714803139571004,0.6285196860428995,0,20.412555246783736
20,20,4,0.15,1,2,False,True,True,True,True,0.540849547805016,0.4591504521949839,0,20.412555246783736
20,20,4,0.15,2,2,False,True,True,True,True,0.5474046676879322,0.4525953323120678,0,20.412555246783736
50,20,0,0.15,0,2,False,True,True,True,True,0.2359745373906974,0.7640254626093026,0,18.5327204940134
50,20,0,0.15,1,2,False,True,True,True,True,0.2660931034736651,0.7339068965263349,0,18.5327204940134
50,20,0,0.15,2,2,False,True,True,True,True,0.2649989498328802,0.7350010501671198,0,18.5327204940134
