n,S,rep,ncand,metric,true_rank,top_rf,corr_neg_rf
20,5000,4,300,wb_b-0.25_g1.0,44,4,0.8916639594388531
20,5000,4,300,wb_b0_g-0.5,43,4,0.33329734217525875
20,5000,4,300,wb_b0_g-0.25,18,4,0.5080213873084359
20,5000,4,300,wb_b0_g0,65,4,0.9034760185079249
20,5000,4,300,wb_b0_g0.25,94,6,0.9389504579559963
20,5000,4,300,wb_b0_g0.5,41,8,0.912024589043359
20,5000,4,300,wb_b0_g1.0,62,4,0.8424810688979835
20,5000,4,300,wb_b0.25_g-0.5,75,36,0.20919326323436924
20,5000,4,300,wb_b0.25_g-0.25,81,36,0.17576293777237786
20,5000,4,300,wb_b0.25_g0,83,36,0.023807201490304217
20,5000,4,300,wb_b0.25_g0.25,52,36,-0.8162607263509358
20,5000,4,300,wb_b0.25_g0.5,140,34,-0.7830385328375021
20,5000,4,300,wb_b0.25_g1.0,141,10,-0.5362510045486429
20,5000,4,300,wb_b0.5_g-0.5,79,36,0.15414479498527445
20,5000,4,300,wb_b0.5_g-0.25,81,36,0.06676196349217461
20,5000,4,300,wb_b0.5_g0,120,36,-0.4135776112487397
20,5000,4,300,wb_b0.5_g0.25,169,36,-0.9220047023113784
20,5000,4,300,wb_b0.5_g0.5,110,36,-0.9470880600605621
20,5000,4,300,wb_b0.5_g1.0,175,36,-0.8826397565296582
20,5000,4,300,wb_b0_g0_p0.25,71,4,0.7654553811642582
20,5000,4,300,wb_b0_g0_p0.5,90,36,0.3227387870687626
20,5000,4,300,wb_b-0.25_g0_p0.25,77,4,0.9432932985283857
20,5000,4,300,wb_b-0.25_g0_p0.5,112,8,0.944137574239455
20,5000,4,300,wb_b-0.5_g0_p0.25,22,4,0.92710238270594
20,5000,4,300,wb_b-0.5_g0_p0.5,22,4,0.9230183926759628
20,5000,4,300,wb_b0_g0.25_p0.25,85,4,0.8833100371225261
20,5000,4,300,wb_b0_g0.25_p0.5,133,36,0.29341862594297546
20,5000,4,300,wb_b0_g0.5_p0.25,106,4,0.8198539426682638
20,5000,4,300,wb_b0_g0.5_p0.5,134,10,0.0876299797969692
20,5000,4,300,wb_b-0.25_g0.25_p0.25,30,4,0.9382579817558132
20,5000,4,300,wb_b-0.25_g0.25_p0.5,78,8,0.9382113193846849
20,5000,4,300,wb_b-0.25_g0.5_p0.25,42,4,0.927347962951707
20,5000,4,300,wb_b-0.25_g0.5_p0.5,58,8,0.9171630719615437
30,5000,0,300,bottleneck,6,2,0.9199038906861803
30,5000,0,300,q05,20,4,0.9636117263891256
30,5000,0,300,q10,47,8,0.9689034931687814
30,5000,0,300,cvar10,9,4,0.9634767339318941
30,5000,0,300,cvar20,41,2,0.9715360689413098
30,5000,0,300,soft_0.1,37,4,0.9624291847369254
30,5000,0,300,soft_0.25,52,4,0.9745416309998096
30,5000,0,300,soft_0.5,51,4,0.9770018935289669
30,5000,0,300,wb_b-0.5_g-0.5,89,4,0.9640833894056555
30,5000,0,300,wb_b-0.5_g-0.25,64,4,0.9607715782637668
30,5000,0,300,wb_b-0.5_g0,80,4,0.9606198320312588
30,5000,0,300,wb_b-0.5_g0.25,80,4,0.9593751762946556
30,5000,0,300,wb_b-0.5_g0.5,80,4,0.9552628794989758
30,5000,0,300,wb_b-0.5_g1.0,84,4,0.9375810131017304
30,5000,0,300,wb_b-0.25_g-0.5,105,2,0.6240531285951081
30,5000,0,300,wb_b-0.25_g-0.25,18,2,0.9580980525958097
30,5000,0,300,wb_b-0.25_g0,67,8,0.9644533173730738
30,5000,0,300,wb_b-0.25_g0.25,79,8,0.9630864927330499
30,5000,0,300,wb_b-0.25_g0.5,83,8,0.956727545304058
30,5000,0,300,wb_b-0.25_g1.0,94,8,0.9355406659286519
30,5000,0,300,wb_b0_g-0.5,101,4,0.2557487738987196
30,5000,0,300,wb_b0_g-0.25,89,4,0.44424473019070165
30,5000,0,300,wb_b0_g0,6,2,0.9199038906861803
30,5000,0,300,wb_b0_g0.25,68,6,0.9633700342298166
30,5000,0,300,wb_b0_g0.5,87,10,0.9561240508943344
30,5000,0,300,wb_b0_g1.0,82,10,0.9204236328135595
30,5000,0,300,wb_b0.25_g-0.5,114,18,0.15291084649372882
30,5000,0,300,wb_b0.25_g-0.25,124,52,0.11112130803624917
30,5000,0,300,wb_b0.25_g0,131,52,-0.10177423003787173
30,5000,0,300,wb_b0.25_g0.25,78,56,-0.9139497713674197
30,5000,0,300,wb_b0.25_g0.5,146,54,-0.8552586277260564
30,5000,0,300,wb_b0.25_g1.0,143,54,-0.6441755446280156
30,5000,0,300,wb_b0.5_g-0.5,134,56,0.09236306421782148
