n,S,rep,ncand,tref,kind,metric,true_rank,top_rf,corr_neg_rf,candidate_gen_s,score_s,unique_units
30,1000,0,300,0.1,single,bottleneck_raw,12,2,0.9384587658472638,11.162554264068604,0.1544044017791748,1161
30,1000,0,300,0.1,single,bottleneck_z,36,4,0.6786581744724738,11.162554264068604,0.1544044017791748,1161
30,1000,0,300,0.1,single,q10_z,110,2,0.673104635972409,11.162554264068604,0.1544044017791748,1161
30,1000,0,300,0.1,single,q20_z,36,12,0.8166772857963064,11.162554264068604,0.1544044017791748,1161
30,5000,0,200,0.1,single,sum_equal,16,2,0.9778304582459435,3.5405147075653076,0.32022976875305176,802
30,5000,0,200,0.1,single,sum_invflow,24,2,0.9733585349148852,3.5405147075653076,0.32022976875305176,802
30,5000,0,200,0.1,single,sum_sqrtinv,15,2,0.9754363021390785,3.5405147075653076,0.32022976875305176,802
30,5000,0,200,0.1,single,sum_balance,23,4,0.9742892705984298,3.5405147075653076,0.32022976875305176,802
30,5000,0,200,0.1,single,sum_balance_sqrt,19,4,0.9762716990676771,3.5405147075653076,0.32022976875305176,802
30,5000,0,200,0.1,single,flow_z_mean,27,2,0.9705170958051016,3.5405147075653076,0.32022976875305176,802
30,5000,0,200,0.1,single,bottleneck_raw,13,2,0.9452553701766706,3.5405147075653076,0.32022976875305176,802
30,5000,0,200,0.1,single,bottleneck_z,24,12,0.3729037713028905,3.5405147075653076,0.32022976875305176,802
30,5000,0,200,0.1,single,q10_z,39,14,0.5450210824041943,3.5405147075653076,0.32022976875305176,802
30,5000,0,200,0.1,single,q20_z,25,14,0.8414224686754832,3.5405147075653076,0.32022976875305176,802
20,5000,1,200,0.1,single,sum_equal,16,4,0.9796810178602402,1.0080838203430176,0.2236948013305664,526
20,5000,1,200,0.1,single,sum_invflow,39,4,0.9759424885558161,1.0080838203430176,0.2236948013305664,526
20,5000,1,200,0.1,single,sum_sqrtinv,29,4,0.9781168956707147,1.0080838203430176,0.2236948013305664,526
20,5000,1,200,0.1,single,sum_balance,25,4,0.9782593313359482,1.0080838203430176,0.2236948013305664,526
20,5000,1,200,0.1,single,sum_balance_sqrt,24,4,0.9794628161929525,1.0080838203430176,0.2236948013305664,526
20,5000,1,200,0.1,single,flow_z_mean,32,4,0.9660949839544214,1.0080838203430176,0.2236948013305664,526
20,5000,1,200,0.1,single,bottleneck_raw,60,2,0.9439173910233339,1.0080838203430176,0.2236948013305664,526
20,5000,1,200,0.1,single,bottleneck_z,33,2,0.5848895915104838,1.0080838203430176,0.2236948013305664,526
20,5000,1,200,0.1,single,q10_z,41,2,0.8089122969871152,1.0080838203430176,0.2236948013305664,526
20,5000,1,200,0.1,single,q20_z,32,6,0.8701199489137336,1.0080838203430176,0.2236948013305664,526
20,5000,2,200,0.1,single,sum_equal,20,2,0.9705677369540162,1.120495319366455,0.2155132293701172,540
20,5000,2,200,0.1,single,sum_invflow,24,4,0.9704073481502274,1.120495319366455,0.2155132293701172,540
20,5000,2,200,0.1,single,sum_sqrtinv,16,4,0.971870927238839,1.120495319366455,0.2155132293701172,540
20,5000,2,200,0.1,single,sum_balance,17,4,0.9728531856600765,1.120495319366455,0.2155132293701172,540
