parent_unit,parent_port,child_unit,option_index,edge_flow,parent_upper_flow,child_upper_flow,connection_kind,router_count,router_stage,switch_id,switch_state
S_m0014_a0001_j0000,left,R_m0001_L001_W00076,1,1,14,1,compact_benes_enter,1,0,R1_S0_P76,cross
S_m0014_a0001_j0001,left,R_m0001_L001_W00078,0,1,14,1,compact_benes_enter,1,0,R1_S0_P78,straight
S_m0014_a0001_j0001,left,R_m0001_L001_W00079,1,1,14,1,compact_benes_enter,1,0,R1_S0_P78,cross
S_m0015_a0001_j0000,left,R_m0001_L001_W00079,0,1,15,1,compact_benes_enter,1,0,R1_S0_P78,straight
S_m0015_a0001_j0000,left,R_m0001_L001_W00078,1,1,15,1,compact_benes_enter,1,0,R1_S0_P78,cross
S_m0015_a0001_j0001,left,R_m0001_L001_W00080,0,1,15,1,compact_benes_enter,1,0,R1_S0_P80,straight
S_m0015_a0001_j0001,left,R_m0001_L001_W00081,1,1,15,1,compact_benes_enter,1,0,R1_S0_P80,cross
S_m0016_a0001_j0000,left,R_m0001_L001_W00081,0,1,16,1,compact_benes_enter,1,0,R1_S0_P80,straight
S_m0016_a0001_j0000,left,R_m0001_L001_W00080,1,1,16,1,compact_benes_enter,1,0,R1_S0_P80,cross
S_m0017_a0001_j0000,left,R_m0001_L001_W00082,0,1,17,1,compact_benes_enter,1,0,R1_S0_P82,straight
S_m0017_a0001_j0000,left,R_m0001_L001_W00083,1,1,17,1,compact_benes_enter,1,0,R1_S0_P82,cross
S_m0018_a0001_j0000,left,R_m0001_L001_W00083,0,1,18,1,compact_benes_enter,1,0,R1_S0_P82,straight
S_m0018_a0001_j0000,left,R_m0001_L001_W00082,1,1,18,1,compact_benes_enter,1,0,R1_S0_P82,cross
S_m0019_a0001_j0000,left,R_m0001_L001_W00084,0,1,19,1,compact_benes_enter,1,0,R1_S0_P84,straight
S_m0019_a0001_j0000,left,R_m0001_L001_W00085,1,1,19,1,compact_benes_enter,1,0,R1_S0_P84,cross
S_m0020_a0001_j0000,left,R_m0001_L001_W00085,0,1,20,1,compact_benes_enter,1,0,R1_S0_P84,straight
S_m0020_a0001_j0000,left,R_m0001_L001_W00084,1,1,20,1,compact_benes_enter,1,0,R1_S0_P84,cross
S_m0021_a0001_j0000,left,R_m0001_L001_W00086,0,1,21,1,compact_benes_enter,1,0,R1_S0_P86,straight
S_m0021_a0001_j0000,left,R_m0001_L001_W00087,1,1,21,1,compact_benes_enter,1,0,R1_S0_P86,cross
S_m0022_a0001_j0000,left,R_m0001_L001_W00087,0,1,22,1,compact_benes_enter,1,0,R1_S0_P86,straight
S_m0022_a0001_j0000,left,R_m0001_L001_W00086,1,1,22,1,compact_benes_enter,1,0,R1_S0_P86,cross
S_m0023_a0001_j0000,left,R_m0001_L001_W00088,0,1,23,1,compact_benes_enter,1,0,R1_S0_P88,straight
S_m0023_a0001_j0000,left,R_m0001_L001_W00089,1,1,23,1,compact_benes_enter,1,0,R1_S0_P88,cross
S_m0024_a0001_j0000,left,R_m0001_L001_W00089,0,1,24,1,compact_benes_enter,1,0,R1_S0_P88,straight
S_m0024_a0001_j0000,left,R_m0001_L001_W00088,1,1,24,1,compact_benes_enter,1,0,R1_S0_P88,cross
S_m0025_a0001_j0000,left,R_m0001_L001_W00090,0,1,25,1,compact_benes_enter,1,0,R1_S0_P90,straight
S_m0025_a0001_j0000,left,R_m0001_L001_W00091,1,1,25,1,compact_benes_enter,1,0,R1_S0_P90,cross
S_m0026_a0001_j0000,left,R_m0001_L001_W00091,0,1,26,1,compact_benes_enter,1,0,R1_S0_P90,straight
S_m0026_a0001_j0000,left,R_m0001_L001_W00090,1,1,26,1,compact_benes_enter,1,0,R1_S0_P90,cross
S_m0027_a0001_j0000,left,R_m0001_L001_W00092,0,1,27,1,compact_benes_enter,1,0,R1_S0_P92,straight
S_m0027_a0001_j0000,left,R_m0001_L001_W00093,1,1,27,1,compact_benes_enter,1,0,R1_S0_P92,cross
S_m0028_a0001_j0000,left,R_m0001_L001_W00093,0,1,28,1,compact_benes_enter,1,0,R1_S0_P92,straight
S_m0028_a0001_j0000,left,R_m0001_L001_W00092,1,1,28,1,compact_benes_enter,1,0,R1_S0_P92,cross
S_m0029_a0001_j0000,left,R_m0001_L001_W00094,0,1,29,1,compact_benes_enter,1,0,R1_S0_P94,straight
S_m0029_a0001_j0000,left,R_m0001_L001_W00095,1,1,29,1,compact_benes_enter,1,0,R1_S0_P94,cross
S_m0030_a0001_j0000,left,R_m0001_L001_W00095,0,1,30,1,compact_benes_enter,1,0,R1_S0_P94,straight
S_m0030_a0001_j0000,left,R_m0001_L001_W00094,1,1,30,1,compact_benes_enter,1,0,R1_S0_P94,cross
R_m0001_L001_W00000,down,R_m0001_L002_W00000,0,1,1,1,compact_benes_straight,1,1,R1_S1_P0,straight
R_m0001_L001_W00000,down,R_m0001_L002_W00002,1,1,1,1,compact_benes_cross,1,1,R1_S1_P0,cross
R_m0001_L001_W00001,down,R_m0001_L002_W00001,0,1,1,1,compact_benes_straight,1,1,R1_S1_P1,straight
R_m0001_L001_W00001,down,R_m0001_L002_W00003,1,1,1,1,compact_benes_cross,1,1,R1_S1_P1,cross
R_m0001_L001_W00002,down,R_m0001_L002_W00002,0,1,1,1,compact_benes_straight,1,1,R1_S1_P0,straight
R_m0001_L001_W00002,down,R_m0001_L002_W00000,1,1,1,1,compact_benes_cross,1,1,R1_S1_P0,cross
R_m0001_L001_W00003,down,R_m0001_L002_W00003,0,1,1,1,compact_benes_straight,1,1,R1_S1_P1,straight
R_m0001_L001_W00003,down,R_m0001_L002_W00001,1,1,1,1,compact_benes_cross,1,1,R1_S1_P1,cross
R_m0001_L001_W00004,down,R_m0001_L002_W00004,0,1,1,1,compact_benes_straight,1,1,R1_S1_P4,straight
R_m0001_L001_W00004,down,R_m0001_L002_W00006,1,1,1,1,compact_benes_cross,1,1,R1_S1_P4,cross
R_m0001_L001_W00005,down,R_m0001_L002_W00005,0,1,1,1,compact_benes_straight,1,1,R1_S1_P5,straight
R_m0001_L001_W00005,down,R_m0001_L002_W00007,1,1,1,1,compact_benes_cross,1,1,R1_S1_P5,cross
R_m0001_L001_W00006,down,R_m0001_L002_W00006,0,1,1,1,compact_benes_straight,1,1,R1_S1_P4,straight
R_m0001_L001_W00006,down,R_m0001_L002_W00004,1,1,1,1,compact_benes_cross,1,1,R1_S1_P4,cross
R_m0001_L001_W00007,down,R_m0001_L002_W00007,0,1,1,1,compact_benes_straight,1,1,R1_S1_P5,straight
R_m0001_L001_W00007,down,R_m0001_L002_W00005,1,1,1,1,compact_benes_cross,1,1,R1_S1_P5,cross
R_m0001_L001_W00008,down,R_m0001_L002_W00008,0,1,1,1,compact_benes_straight,1,1,R1_S1_P8,straight
R_m0001_L001_W00008,down,R_m0001_L002_W00010,1,1,1,1,compact_benes_cross,1,1,R1_S1_P8,cross
R_m0001_L001_W00009,down,R_m0001_L002_W00009,0,1,1,1,compact_benes_straight,1,1,R1_S1_P9,straight
R_m0001_L001_W00009,down,R_m0001_L002_W00011,1,1,1,1,compact_benes_cross,1,1,R1_S1_P9,cross
R_m0001_L001_W00010,down,R_m0001_L002_W00010,0,1,1,1,compact_benes_straight,1,1,R1_S1_P8,straight
R_m0001_L001_W00010,down,R_m0001_L002_W00008,1,1,1,1,compact_benes_cross,1,1,R1_S1_P8,cross
R_m0001_L001_W00011,down,R_m0001_L002_W00011,0,1,1,1,compact_benes_straight,1,1,R1_S1_P9,straight
R_m0001_L001_W00011,down,R_m0001_L002_W00009,1,1,1,1,compact_benes_cross,1,1,R1_S1_P9,cross
R_m0001_L001_W00012,down,R_m0001_L002_W00012,0,1,1,1,compact_benes_straight,1,1,R1_S1_P12,straight
R_m0001_L001_W00012,down,R_m0001_L002_W00014,1,1,1,1,compact_benes_cross,1,1,R1_S1_P12,cross
R_m0001_L001_W00013,down,R_m0001_L002_W00013,0,1,1,1,compact_benes_straight,1,1,R1_S1_P13,straight
R_m0001_L001_W00013,down,R_m0001_L002_W00015,1,1,1,1,compact_benes_cross,1,1,R1_S1_P13,cross
